"CodTempo","Tempo","Recursos materiais","CodEspazo","Espazo","DatoN","DatoT"
2008,"2008","Hospitais","36","36 Pontevedra",9,"9"
2009,"2009","Hospitais","12","12 Galicia",33,"33"
2009,"2009","Hospitais","15","15 A Coruna",13,"13"
2009,"2009","Hospitais","27","27 Lugo",5,"5"
2009,"2009","Hospitais","32","32 Ourense",6,"6"
2009,"2009","Hospitais","36","36 Pontevedra",9,"9"
2010,"2010","Hospitais","12","12 Galicia",33,"33"
2010,"2010","Hospitais","15","15 A Coruna",13,"13"
2010,"2010","Hospitais","27","27 Lugo",5,"5"
2010,"2010","Hospitais","32","32 Ourense",6,"6"
2010,"2010","Hospitais","36","36 Pontevedra",9,"9"
2011,"2011","Hospitais","12","12 Galicia",31,"31"
2011,"2011","Hospitais","15","15 A Coruna",12,"12"
2011,"2011","Hospitais","27","27 Lugo",4,"4"
2011,"2011","Hospitais","32","32 Ourense",6,"6"
2011,"2011","Hospitais","36","36 Pontevedra",9,"9"
2012,"2012","Hospitais","12","12 Galicia",30,"30"
2012,"2012","Hospitais","15","15 A Coruna",12,"12"
2012,"2012","Hospitais","27","27 Lugo",4,"4"
2012,"2012","Hospitais","32","32 Ourense",5,"5"
2012,"2012","Hospitais","36","36 Pontevedra",9,"9"
2013,"2013","Hospitais","12","12 Galicia",30,"30"
2013,"2013","Hospitais","15","15 A Coruna",12,"12"
2013,"2013","Hospitais","27","27 Lugo",4,"4"
2013,"2013","Hospitais","32","32 Ourense",5,"5"
2013,"2013","Hospitais","36","36 Pontevedra",9,"9"
2014,"2014","Hospitais","12","12 Galicia",30,"30"
2014,"2014","Hospitais","15","15 A Coruna",12,"12"
2014,"2014","Hospitais","27","27 Lugo",4,"4"
2014,"2014","Hospitais","32","32 Ourense",5,"5"
2014,"2014","Hospitais","36","36 Pontevedra",9,"9"
1995,"1995","Centros de especialidades","12","12 Galicia",14,"14"
1995,"1995","Centros de especialidades","15","15 A Coruna",3,"3"
1995,"1995","Centros de especialidades","27","27 Lugo",2,"2"
1995,"1995","Centros de especialidades","32","32 Ourense",1,"1"
1995,"1995","Centros de especialidades","36","36 Pontevedra",8,"8"
1996,"1996","Centros de especialidades","12","12 Galicia",15,"15"
1996,"1996","Centros de especialidades","15","15 A Coruna",3,"3"
1996,"1996","Centros de especialidades","27","27 Lugo",2,"2"
1996,"1996","Centros de especialidades","32","32 Ourense",1,"1"
1996,"1996","Centros de especialidades","36","36 Pontevedra",9,"9"
1997,"1997","Centros de especialidades","12","12 Galicia",27,"27"
1997,"1997","Centros de especialidades","15","15 A Coruna",11,"11"
1997,"1997","Centros de especialidades","27","27 Lugo",2,"2"
1997,"1997","Centros de especialidades","32","32 Ourense",2,"2"
1997,"1997","Centros de especialidades","36","36 Pontevedra",12,"12"
1998,"1998","Centros de especialidades","12","12 Galicia",27,"27"
1998,"1998","Centros de especialidades","15","15 A Coruna",11,"11"
1998,"1998","Centros de especialidades","27","27 Lugo",2,"2"
1998,"1998","Centros de especialidades","32","32 Ourense",2,"2"
1998,"1998","Centros de especialidades","36","36 Pontevedra",12,"12"
1999,"1999","Centros de especialidades","12","12 Galicia",22,"22"
1999,"1999","Centros de especialidades","15","15 A Coruna",7,"7"
1999,"1999","Centros de especialidades","27","27 Lugo",2,"2"
1999,"1999","Centros de especialidades","32","32 Ourense",2,"2"
1999,"1999","Centros de especialidades","36","36 Pontevedra",11,"11"
2000,"2000","Centros de especialidades","12","12 Galicia",22,"22"
2000,"2000","Centros de especialidades","15","15 A Coruna",7,"7"
2000,"2000","Centros de especialidades","27","27 Lugo",2,"2"
2000,"2000","Centros de especialidades","32","32 Ourense",2,"2"
2000,"2000","Centros de especialidades","36","36 Pontevedra",11,"11"
2001,"2001","Centros de especialidades","12","12 Galicia",22,"22"
2001,"2001","Centros de especialidades","15","15 A Coruna",7,"7"
2001,"2001","Centros de especialidades","27","27 Lugo",2,"2"
2001,"2001","Centros de especialidades","32","32 Ourense",2,"2"
2001,"2001","Centros de especialidades","36","36 Pontevedra",11,"11"
2002,"2002","Centros de especialidades","12","12 Galicia",22,"22"
2002,"2002","Centros de especialidades","15","15 A Coruna",7,"7"
2002,"2002","Centros de especialidades","27","27 Lugo",2,"2"
2002,"2002","Centros de especialidades","32","32 Ourense",2,"2"
2002,"2002","Centros de especialidades","36","36 Pontevedra",11,"11"
2003,"2003","Centros de especialidades","12","12 Galicia",22,"22"
2003,"2003","Centros de especialidades","15","15 A Coruna",7,"7"
2003,"2003","Centros de especialidades","27","27 Lugo",2,"2"
2003,"2003","Centros de especialidades","32","32 Ourense",2,"2"
2003,"2003","Centros de especialidades","36","36 Pontevedra",11,"11"
2004,"2004","Centros de especialidades","12","12 Galicia",14,"14"
2004,"2004","Centros de especialidades","15","15 A Coruna",7,"7"
2004,"2004","Centros de especialidades","27","27 Lugo",2,"2"
2004,"2004","Centros de especialidades","32","32 Ourense",1,"1"
2004,"2004","Centros de especialidades","36","36 Pontevedra",4,"4"
2005,"2005","Centros de especialidades","12","12 Galicia",14,"14"
2005,"2005","Centros de especialidades","15","15 A Coruna",7,"7"
2005,"2005","Centros de especialidades","27","27 Lugo",1,"1"
2005,"2005","Centros de especialidades","32","32 Ourense",2,"2"
2005,"2005","Centros de especialidades","36","36 Pontevedra",4,"4"
2006,"2006","Centros de especialidades","12","12 Galicia",14,"14"
2006,"2006","Centros de especialidades","15","15 A Coruna",7,"7"
2006,"2006","Centros de especialidades","27","27 Lugo",2,"2"
2006,"2006","Centros de especialidades","32","32 Ourense",1,"1"
2006,"2006","Centros de especialidades","36","36 Pontevedra",4,"4"
2007,"2007","Centros de especialidades","12","12 Galicia",14,"14"
2007,"2007","Centros de especialidades","15","15 A Coruna",7,"7"
2007,"2007","Centros de especialidades","27","27 Lugo",2,"2"
2007,"2007","Centros de especialidades","32","32 Ourense",1,"1"
2007,"2007","Centros de especialidades","36","36 Pontevedra",4,"4"
2008,"2008","Centros de especialidades","12","12 Galicia",17,"17"
2008,"2008","Centros de especialidades","15","15 A Coruna",7,"7"
2008,"2008","Centros de especialidades","27","27 Lugo",2,"2"
2008,"2008","Centros de especialidades","32","32 Ourense",1,"1"
2008,"2008","Centros de especialidades","36","36 Pontevedra",7,"7"
2009,"2009","Centros de especialidades","12","12 Galicia",17,"17"
2009,"2009","Centros de especialidades","15","15 A Coruna",7,"7"
2009,"2009","Centros de especialidades","27","27 Lugo",2,"2"
2009,"2009","Centros de especialidades","32","32 Ourense",1,"1"
2009,"2009","Centros de especialidades","36","36 Pontevedra",7,"7"
2010,"2010","Centros de especialidades","12","12 Galicia",15,"15"
2010,"2010","Centros de especialidades","15","15 A Coruna",7,"7"
2010,"2010","Centros de especialidades","27","27 Lugo",2,"2"
2010,"2010","Centros de especialidades","32","32 Ourense",1,"1"
2010,"2010","Centros de especialidades","36","36 Pontevedra",5,"5"
2011,"2011","Centros de especialidades","12","12 Galicia",15,"15"
2011,"2011","Centros de especialidades","15","15 A Coruna",7,"7"
2011,"2011","Centros de especialidades","27","27 Lugo",2,"2"
2011,"2011","Centros de especialidades","32","32 Ourense",1,"1"
2011,"2011","Centros de especialidades","36","36 Pontevedra",5,"5"
2012,"2012","Centros de especialidades","12","12 Galicia",15,"15"
2012,"2012","Centros de especialidades","15","15 A Coruna",7,"7"
2012,"2012","Centros de especialidades","27","27 Lugo",2,"2"
2012,"2012","Centros de especialidades","32","32 Ourense",1,"1"
2012,"2012","Centros de especialidades","36","36 Pontevedra",5,"5"
2013,"2013","Centros de especialidades","12","12 Galicia",15,"15"
2013,"2013","Centros de especialidades","15","15 A Coruna",7,"7"
2013,"2013","Centros de especialidades","27","27 Lugo",2,"2"
2013,"2013","Centros de especialidades","32","32 Ourense",1,"1"
2013,"2013","Centros de especialidades","36","36 Pontevedra",5,"5"
2014,"2014","Centros de especialidades","12","12 Galicia",15,"15"
2014,"2014","Centros de especialidades","15","15 A Coruna",7,"7"
2014,"2014","Centros de especialidades","27","27 Lugo",2,"2"
2014,"2014","Centros de especialidades","32","32 Ourense",1,"1"
2014,"2014","Centros de especialidades","36","36 Pontevedra",5,"5"
1995,"1995","Centros de orientacion familiar","12","12 Galicia",14,"14"
1995,"1995","Centros de orientacion familiar","15","15 A Coruna",4,"4"
1995,"1995","Centros de orientacion familiar","27","27 Lugo",3,"3"
1995,"1995","Centros de orientacion familiar","32","32 Ourense",4,"4"
1995,"1995","Centros de orientacion familiar","36","36 Pontevedra",3,"3"
1996,"1996","Centros de orientacion familiar","12","12 Galicia",14,"14"
1996,"1996","Centros de orientacion familiar","15","15 A Coruna",4,"4"
1996,"1996","Centros de orientacion familiar","27","27 Lugo",3,"3"
1996,"1996","Centros de orientacion familiar","32","32 Ourense",4,"4"
1996,"1996","Centros de orientacion familiar","36","36 Pontevedra",3,"3"
1997,"1997","Centros de orientacion familiar","12","12 Galicia",14,"14"
1997,"1997","Centros de orientacion familiar","15","15 A Coruna",4,"4"
1997,"1997","Centros de orientacion familiar","27","27 Lugo",3,"3"
1997,"1997","Centros de orientacion familiar","32","32 Ourense",4,"4"
1997,"1997","Centros de orientacion familiar","36","36 Pontevedra",3,"3"
1998,"1998","Centros de orientacion familiar","12","12 Galicia",14,"14"
1998,"1998","Centros de orientacion familiar","15","15 A Coruna",4,"4"
1998,"1998","Centros de orientacion familiar","27","27 Lugo",3,"3"
1998,"1998","Centros de orientacion familiar","32","32 Ourense",4,"4"
1998,"1998","Centros de orientacion familiar","36","36 Pontevedra",3,"3"
1999,"1999","Centros de orientacion familiar","12","12 Galicia",14,"14"
1999,"1999","Centros de orientacion familiar","15","15 A Coruna",4,"4"
1999,"1999","Centros de orientacion familiar","27","27 Lugo",3,"3"
1999,"1999","Centros de orientacion familiar","32","32 Ourense",4,"4"
1999,"1999","Centros de orientacion familiar","36","36 Pontevedra",3,"3"
2000,"2000","Centros de orientacion familiar","12","12 Galicia",14,"14"
2000,"2000","Centros de orientacion familiar","15","15 A Coruna",4,"4"
2000,"2000","Centros de orientacion familiar","27","27 Lugo",3,"3"
2000,"2000","Centros de orientacion familiar","32","32 Ourense",4,"4"
2000,"2000","Centros de orientacion familiar","36","36 Pontevedra",3,"3"
2001,"2001","Centros de orientacion familiar","12","12 Galicia",14,"14"
2001,"2001","Centros de orientacion familiar","15","15 A Coruna",4,"4"
2001,"2001","Centros de orientacion familiar","27","27 Lugo",3,"3"
2001,"2001","Centros de orientacion familiar","32","32 Ourense",4,"4"
2001,"2001","Centros de orientacion familiar","36","36 Pontevedra",3,"3"
2002,"2002","Centros de orientacion familiar","12","12 Galicia",14,"14"
2002,"2002","Centros de orientacion familiar","15","15 A Coruna",4,"4"
2002,"2002","Centros de orientacion familiar","27","27 Lugo",3,"3"
2002,"2002","Centros de orientacion familiar","32","32 Ourense",4,"4"
2002,"2002","Centros de orientacion familiar","36","36 Pontevedra",3,"3"
2003,"2003","Centros de orientacion familiar","12","12 Galicia",14,"14"
2003,"2003","Centros de orientacion familiar","15","15 A Coruna",4,"4"
2003,"2003","Centros de orientacion familiar","27","27 Lugo",3,"3"
2003,"2003","Centros de orientacion familiar","32","32 Ourense",4,"4"
2003,"2003","Centros de orientacion familiar","36","36 Pontevedra",3,"3"
2004,"2004","Centros de orientacion familiar","12","12 Galicia",14,"14"
2004,"2004","Centros de orientacion familiar","15","15 A Coruna","NA","NA"
2004,"2004","Centros de orientacion familiar","27","27 Lugo","NA","NA"
2004,"2004","Centros de orientacion familiar","32","32 Ourense","NA","NA"
2004,"2004","Centros de orientacion familiar","36","36 Pontevedra","NA","NA"
2005,"2005","Centros de orientacion familiar","12","12 Galicia",14,"14"
2005,"2005","Centros de orientacion familiar","15","15 A Coruna","NA","NA"
2005,"2005","Centros de orientacion familiar","27","27 Lugo","NA","NA"
2005,"2005","Centros de orientacion familiar","32","32 Ourense","NA","NA"
2005,"2005","Centros de orientacion familiar","36","36 Pontevedra","NA","NA"
2006,"2006","Centros de orientacion familiar","12","12 Galicia",12,"12"
2006,"2006","Centros de orientacion familiar","15","15 A Coruna","NA","NA"
2006,"2006","Centros de orientacion familiar","27","27 Lugo","NA","NA"
2006,"2006","Centros de orientacion familiar","32","32 Ourense","NA","NA"
2006,"2006","Centros de orientacion familiar","36","36 Pontevedra","NA","NA"
2007,"2007","Centros de orientacion familiar","12","12 Galicia",12,"12"
2007,"2007","Centros de orientacion familiar","15","15 A Coruna","NA","NA"
2007,"2007","Centros de orientacion familiar","27","27 Lugo","NA","NA"
2007,"2007","Centros de orientacion familiar","32","32 Ourense","NA","NA"
2007,"2007","Centros de orientacion familiar","36","36 Pontevedra","NA","NA"
2008,"2008","Centros de orientacion familiar","12","12 Galicia",11,"11"
2008,"2008","Centros de orientacion familiar","15","15 A Coruna",3,"3"
2008,"2008","Centros de orientacion familiar","27","27 Lugo",3,"3"
2008,"2008","Centros de orientacion familiar","32","32 Ourense",3,"3"
2008,"2008","Centros de orientacion familiar","36","36 Pontevedra",2,"2"
2009,"2009","Centros de orientacion familiar","12","12 Galicia",11,"11"
2009,"2009","Centros de orientacion familiar","15","15 A Coruna",3,"3"
2009,"2009","Centros de orientacion familiar","27","27 Lugo",3,"3"
2009,"2009","Centros de orientacion familiar","32","32 Ourense",3,"3"
2009,"2009","Centros de orientacion familiar","36","36 Pontevedra",2,"2"
2010,"2010","Centros de orientacion familiar","12","12 Galicia",13,"13"
2010,"2010","Centros de orientacion familiar","15","15 A Coruna",4,"4"
2010,"2010","Centros de orientacion familiar","27","27 Lugo",3,"3"
2010,"2010","Centros de orientacion familiar","32","32 Ourense",4,"4"
2010,"2010","Centros de orientacion familiar","36","36 Pontevedra",2,"2"
2011,"2011","Centros de orientacion familiar","12","12 Galicia",13,"13"
2011,"2011","Centros de orientacion familiar","15","15 A Coruna",4,"4"
2011,"2011","Centros de orientacion familiar","27","27 Lugo",3,"3"
2011,"2011","Centros de orientacion familiar","32","32 Ourense",4,"4"
2011,"2011","Centros de orientacion familiar","36","36 Pontevedra",2,"2"
2012,"2012","Centros de orientacion familiar","12","12 Galicia",13,"13"
2012,"2012","Centros de orientacion familiar","15","15 A Coruna",4,"4"
2012,"2012","Centros de orientacion familiar","27","27 Lugo",3,"3"
2012,"2012","Centros de orientacion familiar","32","32 Ourense",4,"4"
2012,"2012","Centros de orientacion familiar","36","36 Pontevedra",2,"2"
2013,"2013","Centros de orientacion familiar","12","12 Galicia",13,"13"
2013,"2013","Centros de orientacion familiar","15","15 A Coruna",4,"4"
2013,"2013","Centros de orientacion familiar","27","27 Lugo",3,"3"
2013,"2013","Centros de orientacion familiar","32","32 Ourense",4,"4"
2013,"2013","Centros de orientacion familiar","36","36 Pontevedra",2,"2"
2014,"2014","Centros de orientacion familiar","12","12 Galicia",12,"12"
2014,"2014","Centros de orientacion familiar","15","15 A Coruna",3,"3"
2014,"2014","Centros de orientacion familiar","27","27 Lugo",3,"3"
2014,"2014","Centros de orientacion familiar","32","32 Ourense",4,"4"
2014,"2014","Centros de orientacion familiar","36","36 Pontevedra",2,"2"
